Datum,baseline,regime,social,confidence,all,BuyHold
2026-07-23,9941.51,9959.16,9940.92,9960.33,10000.01,10000.00
2026-07-24,10102.91,9798.05,10094.09,10121.25,9800.49,9876.51
2026-07-27,9334.52,9259.80,9338.94,9358.11,9236.35,9860.32
2026-07-28,9021.11,8989.63,9055.19,9035.46,8982.65,9888.68
2026-07-29,9009.79,9031.39,9022.46,9055.62,9038.90,9834.09
2026-07-30,8974.57,8907.17,9012.68,9002.43,8908.06,9759.84
2026-07-31,8748.25,8891.97,8785.12,8771.16,8891.80,9929.89
2026-08-03,8945.16,8966.34,8988.57,8969.18,8967.57,10109.04
2026-08-04,9188.32,9052.07,9271.84,9198.06,9051.54,10266.72
2026-08-05,9156.64,9020.87,9227.66,9174.93,9013.69,10350.79
2026-08-06,9119.64,8984.41,9167.90,9130.59,8951.57,10310.67
2026-08-07,9142.62,9004.52,9165.02,9156.72,8953.17,10312.48
2026-08-10,9231.89,9094.19,9264.99,9251.55,9058.02,10357.77
2026-08-11,9216.45,9076.40,9235.41,9222.14,9021.66,10354.29
2026-08-12,9314.13,9168.82,9375.84,9299.70,9099.89,10338.57
2026-08-13,9408.50,9272.63,9472.82,9370.77,9130.35,10416.64
2026-08-14,9478.63,9344.18,9536.78,9443.07,9196.34,10417.44
2026-08-17,9441.23,9302.07,9513.44,9397.44,9157.98,10374.32
2026-08-18,9374.11,9230.69,9438.06,9354.33,9097.16,10282.31
2026-08-19,9254.19,9111.80,9333.07,9228.71,8992.41,10298.36
2026-08-20,9213.09,9075.11,9288.45,9219.98,9002.79,10263.04
2026-08-21,9361.01,9222.21,9386.26,9305.14,9110.23,10245.52
