Zeitstempel,Datum,Asset,Score,Sentiment,Social,ST_Posts,Mom5,Mom20,Mom60,Vol20,Regime,RegimeRatio,Mark,ImZiel
2026-07-23 11:04 ET,2026-07-23,MRNA,-2,-1,1,17,-12.97,-1.65,0.00,5.46,1,0.0032,57.47,0
2026-07-23 11:04 ET,2026-07-23,ABT,4,0,2,10,12.66,11.93,0.00,2.96,1,0.0032,101.43,1
2026-07-23 11:04 ET,2026-07-23,ISRG,0,0,2,9,-12.41,-15.22,0.00,4.12,1,0.0032,329.86,0
2026-07-23 11:04 ET,2026-07-23,TRV,5,3,0,0,12.16,15.11,0.00,2.43,1,0.0032,377.79,1
2026-07-23 11:04 ET,2026-07-23,GLW,-1,1,0,20,-11.67,-25.15,0.00,6.95,1,0.0032,156.81,0
2026-07-23 11:04 ET,2026-07-23,CVNA,-4,0,-2,17,-11.11,-7.60,0.00,3.51,1,0.0032,60.90,1
2026-07-23 11:04 ET,2026-07-23,DHR,0,0,2,8,-10.78,-4.95,0.00,2.96,1,0.0032,188.65,0
2026-07-23 11:04 ET,2026-07-23,HAS,2,0,0,0,10.59,6.92,0.00,2.54,1,0.0032,87.18,0
2026-07-23 11:04 ET,2026-07-23,LITE,5,3,2,8,10.33,-1.52,0.00,5.63,1,0.0032,844.13,1
2026-07-23 11:04 ET,2026-07-23,MSCI,-2,1,-1,2,-9.87,-2.93,0.00,3.21,1,0.0032,560.28,0
2026-07-23 11:04 ET,2026-07-23,EQT,4,0,2,11,9.66,4.91,0.00,2.36,1,0.0032,54.28,1
2026-07-23 11:04 ET,2026-07-23,TER,3,0,1,2,9.66,-12.18,0.00,6.90,1,0.0032,370.43,1
2026-07-23 11:04 ET,2026-07-23,HOOD,1,3,2,12,-9.57,7.50,0.00,4.32,1,0.0032,100.71,0
2026-07-23 11:04 ET,2026-07-23,CDNS,-3,-1,0,0,-9.28,-9.50,0.00,2.74,1,0.0032,334.61,1
2026-07-23 11:04 ET,2026-07-23,SWKS,2,-1,1,2,9.25,-12.00,0.00,2.53,1,0.0032,60.92,0
2026-07-23 11:04 ET,2026-07-23,AXON,-3,0,-1,5,-9.17,7.61,0.00,4.68,1,0.0032,490.12,1
2026-07-23 11:04 ET,2026-07-23,APP,0,0,2,7,-8.89,-11.29,0.00,4.89,1,0.0032,398.83,0
2026-07-23 11:04 ET,2026-07-23,CRWD,1,2,1,7,-8.87,11.98,0.00,3.88,1,0.0032,182.66,0
2026-07-23 11:04 ET,2026-07-23,SNPS,-3,-1,0,0,-8.64,-16.25,0.00,2.32,1,0.0032,373.73,1
2026-07-23 11:04 ET,2026-07-23,CF,3,1,0,1,8.09,23.53,0.00,1.72,1,0.0032,128.43,1
2026-07-23 11:04 ET,2026-07-23,STX,3,2,-1,11,8.07,-9.88,0.00,6.39,1,0.0032,920.60,1
2026-07-23 11:04 ET,2026-07-23,PSX,2,0,0,0,7.92,25.54,0.00,2.06,1,0.0032,213.26,0
2026-07-23 11:04 ET,2026-07-23,PSKY,-2,-2,2,29,-7.78,-12.51,0.00,2.38,1,0.0032,8.60,0
2026-07-23 11:04 ET,2026-07-23,GOOGL,-1,-1,2,10,-7.77,-0.93,0.00,2.07,1,0.0032,316.43,0
2026-07-23 11:04 ET,2026-07-23,GLD,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0032,372.12,0
2026-07-23 11:04 ET,2026-07-23,USO,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0032,139.99,0
2026-07-23 11:04 ET,2026-07-23,QQQ,0,0,0,0,0.00,0.00,0.00,0.00,1,0.0032,691.11,0
2026-07-23 13:14 ET,2026-07-23,MRNA,-1,0,1,17,-14.95,-3.89,0.00,5.49,1,0.0032,57.28,0
2026-07-23 13:14 ET,2026-07-23,SMCI,3,-1,2,18,13.65,-5.82,0.00,6.20,1,0.0032,32.21,1
2026-07-23 13:14 ET,2026-07-23,TRV,4,2,0,0,13.03,16.01,0.00,2.43,1,0.0032,377.36,1
2026-07-23 13:14 ET,2026-07-23,ABT,4,0,2,10,12.66,11.93,0.00,2.96,1,0.0032,100.31,1
2026-07-23 13:14 ET,2026-07-23,ISRG,-1,-1,2,9,-12.41,-15.22,0.00,4.12,1,0.0032,333.43,0
2026-07-23 13:14 ET,2026-07-23,GLW,0,1,1,21,-11.67,-25.15,0.00,6.95,1,0.0032,158.00,0
2026-07-23 13:14 ET,2026-07-23,WAB,2,-1,1,2,11.66,6.43,0.00,2.82,1,0.0032,297.03,0
2026-07-23 13:14 ET,2026-07-23,SNPS,-3,-1,0,0,-11.21,-18.61,0.00,2.37,1,0.0032,374.00,1
2026-07-23 13:14 ET,2026-07-23,CVNA,-4,0,-2,13,-11.11,-7.60,0.00,3.51,1,0.0032,60.65,1
2026-07-23 13:14 ET,2026-07-23,DHR,0,0,2,8,-10.78,-4.95,0.00,2.96,1,0.0032,190.38,0
2026-07-23 13:14 ET,2026-07-23,HAS,2,0,0,1,10.59,6.92,0.00,2.54,1,0.0032,87.04,0
2026-07-23 13:14 ET,2026-07-23,LITE,5,3,2,7,10.33,-1.52,0.00,5.63,1,0.0032,847.10,1
2026-07-23 13:14 ET,2026-07-23,SWKS,2,0,0,1,9.82,-11.54,0.00,2.56,1,0.0032,60.26,0
2026-07-23 13:14 ET,2026-07-23,EQT,5,1,2,11,9.66,4.91,0.00,2.36,1,0.0032,53.64,1
2026-07-23 13:14 ET,2026-07-23,STX,3,2,-1,15,9.63,-8.57,0.00,6.37,1,0.0032,924.72,1
2026-07-23 13:14 ET,2026-07-23,HOOD,1,3,0,7,-9.57,7.50,0.00,4.32,1,0.0032,102.79,0
2026-07-23 13:14 ET,2026-07-23,CDNS,-3,-1,0,0,-9.28,-9.50,0.00,2.74,1,0.0032,333.51,1
2026-07-23 13:14 ET,2026-07-23,TTD,-1,0,1,12,-9.24,-0.68,0.00,2.86,1,0.0032,16.99,0
2026-07-23 13:14 ET,2026-07-23,AXON,-3,0,-1,5,-9.17,7.61,0.00,4.68,1,0.0032,493.22,1
2026-07-23 13:14 ET,2026-07-23,APP,0,0,2,6,-8.89,-11.29,0.00,4.89,1,0.0032,400.04,0
2026-07-23 13:14 ET,2026-07-23,CRWD,1,3,1,6,-8.87,11.98,0.00,3.88,1,0.0032,183.83,0
2026-07-23 13:14 ET,2026-07-23,NOW,1,2,2,12,-8.85,1.77,0.00,3.82,1,0.0032,94.51,0
2026-07-23 13:14 ET,2026-07-23,PTC,-4,-2,0,1,-8.49,0.16,0.00,2.65,1,0.0032,112.99,1
2026-07-23 13:14 ET,2026-07-23,WDC,2,-1,1,13,8.34,-13.54,0.00,7.12,1,0.0032,566.25,0
2026-07-23 13:14 ET,2026-07-23,CF,3,1,0,1,8.09,23.53,0.00,1.72,1,0.0032,125.95,1
2026-07-23 13:14 ET,2026-07-23,TER,3,0,1,3,7.99,-13.52,0.00,6.87,1,0.0032,374.05,1
2026-07-23 15:06 ET,2026-07-23,MRNA,-1,0,1,18,-14.95,-3.89,0.00,5.49,1,0.0032,56.82,0
2026-07-23 15:06 ET,2026-07-23,SMCI,3,-1,2,13,13.65,-5.82,0.00,6.20,1,0.0032,30.92,1
2026-07-23 15:06 ET,2026-07-23,TRV,3,1,0,0,13.03,16.01,0.00,2.43,1,0.0032,377.08,1
2026-07-23 15:06 ET,2026-07-23,ABT,4,0,2,9,12.66,11.93,0.00,2.96,1,0.0032,100.89,1
2026-07-23 15:06 ET,2026-07-23,ISRG,-1,-1,2,11,-12.41,-15.22,0.00,4.12,1,0.0032,331.70,0
2026-07-23 15:06 ET,2026-07-23,GLW,1,2,2,21,-11.67,-25.15,0.00,6.95,1,0.0032,156.49,0
2026-07-23 15:06 ET,2026-07-23,WAB,3,0,1,2,11.66,6.43,0.00,2.82,1,0.0032,295.58,1
2026-07-23 15:06 ET,2026-07-23,SNPS,-3,-1,0,0,-11.21,-18.61,0.00,2.37,1,0.0032,372.25,1
2026-07-23 15:06 ET,2026-07-23,CVNA,-4,0,-2,13,-11.11,-7.60,0.00,3.51,1,0.0032,59.81,1
2026-07-23 15:06 ET,2026-07-23,DHR,0,0,2,9,-10.78,-4.95,0.00,2.96,1,0.0032,191.05,0
2026-07-23 15:06 ET,2026-07-23,HAS,2,0,0,1,10.59,6.92,0.00,2.54,1,0.0032,86.92,0
2026-07-23 15:06 ET,2026-07-23,LITE,5,3,2,8,10.33,-1.52,0.00,5.63,1,0.0032,835.17,1
2026-07-23 15:06 ET,2026-07-23,SWKS,2,0,0,1,9.82,-11.54,0.00,2.56,1,0.0032,59.88,0
2026-07-23 15:06 ET,2026-07-23,EQT,5,1,2,11,9.66,4.91,0.00,2.36,1,0.0032,53.56,1
2026-07-23 15:06 ET,2026-07-23,STX,3,2,-1,16,9.63,-8.57,0.00,6.37,1,0.0032,919.45,1
2026-07-23 15:06 ET,2026-07-23,HOOD,0,3,-1,12,-9.57,7.50,0.00,4.32,1,0.0032,101.99,0
2026-07-23 15:06 ET,2026-07-23,CDNS,-3,-1,0,0,-9.28,-9.50,0.00,2.74,1,0.0032,331.54,1
2026-07-23 15:06 ET,2026-07-23,TTD,-2,0,0,7,-9.24,-0.68,0.00,2.86,1,0.0032,16.92,0
2026-07-23 15:06 ET,2026-07-23,AXON,-3,0,-1,5,-9.17,7.61,0.00,4.68,1,0.0032,489.59,1
2026-07-23 15:06 ET,2026-07-23,APP,-1,0,1,7,-8.89,-11.29,0.00,4.89,1,0.0032,396.97,0
2026-07-23 15:06 ET,2026-07-23,CRWD,1,3,1,4,-8.87,11.98,0.00,3.88,1,0.0032,182.55,0
2026-07-23 15:06 ET,2026-07-23,NOW,1,2,1,11,-8.85,1.77,0.00,3.82,1,0.0032,92.71,0
2026-07-23 15:06 ET,2026-07-23,PTC,-4,-2,0,1,-8.49,0.16,0.00,2.65,1,0.0032,113.18,1
2026-07-23 15:06 ET,2026-07-23,WDC,2,-1,1,13,8.34,-13.54,0.00,7.12,1,0.0032,561.25,0
2026-07-23 15:06 ET,2026-07-23,TER,3,0,1,2,7.99,-13.52,0.00,6.87,1,0.0032,368.59,1
2026-07-23 15:06 ET,2026-07-23,CF,3,1,0,1,8.09,23.53,0.00,1.72,1,0.0032,126.26,1
