Datum,Strategie,BuyHold
2026-07-17,10105.56,9899.16
2026-07-18,10104.74,9901.03
2026-07-20,10073.98,9886.64
2026-07-21,10013.66,9967.03
2026-07-22,10013.26,9956.71
2026-07-23,10268.09,9955.91
2026-07-24,10412.39,9832.96
2026-07-27,9641.00,9816.84
2026-07-28,9302.47,9845.08
2026-07-29,9331.51,9790.73
2026-07-30,9217.13,9716.81
2026-07-31,9198.22,9886.11
2026-08-03,9278.22,10064.47
2026-08-04,9374.67,10221.45
2026-08-05,9313.51,10305.15
2026-08-06,9249.68,10265.21
2026-08-07,9229.89,10267.01
2026-08-10,9339.43,10312.10
2026-08-11,9342.28,10308.64
2026-08-12,9430.78,10292.99
2026-08-13,9537.94,10370.71
2026-08-14,9489.70,10331.78
