Datum,mom12_1,reversal5,BuyHold
2026-07-23,10039.22,10037.77,10000.00
2026-07-24,10027.14,9994.50,9876.51
2026-07-27,8856.67,10260.29,9860.32
2026-07-28,9135.37,10248.04,9888.68
2026-07-29,8247.70,10285.43,9834.09
2026-07-30,8036.00,10270.18,9759.84
2026-07-31,9144.16,10251.63,9929.89
2026-08-03,9074.86,10557.99,10109.04
2026-08-04,9826.67,10945.15,10266.72
2026-08-05,9835.78,11068.54,10350.79
2026-08-06,9730.68,10908.88,10310.67
2026-08-07,9485.14,10821.11,10312.48
2026-08-10,9661.57,10845.24,10357.77
2026-08-11,9497.56,10897.11,10352.69
